,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
57,autoland,firefox,eYfDie9QR9GavLYV3NCwbA,72125,1541031486,push,19.67,1.03,358,27
58,autoland,firefox,AWLTowZSQiyr0bKjmTVjJw,72126,1541034430,push,16.24,3.42,325,69
59,autoland,firefox,Q2zpqjlATymIAUpESVDnbw,72127,1541038750,push,0.46,0.13,2224,155
60,autoland,firefox,BVhGjJwGTW-FN6VdJcXxWQ,72128,1541040194,push,74.57,6.14,2189,151
61,autoland,firefox,Agpbqg5wTmaoQsV4xkz-rQ,72129,1541040242,push,19.97,4.5,378,73
62,autoland,firefox,POTu2vIuSJOiTteMYtDDhA,72130,1541040277,push,59.15,4.11,1859,113
63,autoland,firefox,UFJNxvA1SQGloP_7V9674Q,72131,1541040317,push,23.79,4.81,393,74
64,autoland,firefox,HgwjuIltSWmhb2iUgW7NUQ,72133,1541051033,push,57.94,4.47,1916,148
65,autoland,firefox,ILdfGMn_TeuA9zGH7_bjQw,72134,1541062034,push,59.89,4.1,1863,113
66,autoland,firefox,XgG0QInOSXCJzIUV9rQWEQ,72135,1541065486,push,74.4,5.87,2222,181
67,autoland,firefox,eJrg7jWBTPeq7V78ay7OHg,72136,1541067391,push,15.3,2.72,295,35
68,autoland,firefox,JFQIDlhfThSTlzoGieRC4g,72137,1541072428,push,56.91,4.42,1913,154
69,autoland,firefox,Q7cEmqaRRhqxg33ZwExy8A,72138,1541072728,push,15.81,2.75,296,35
70,autoland,firefox,aQ_znnIWTB6jWoGrw1vlQQ,72139,1541073797,push,16.57,4.3,375,100
71,autoland,firefox,YRC7bY1hQCeM4SQOkC2SAg,72140,1541074633,push,58.38,3.93,1882,119
72,autoland,firefox,AHCM9kssShi1OrMFSj2_LQ,72141,1541074722,push,15.4,2.97,303,35
73,autoland,firefox,a_rpcD8bReS3LeoX65kMsA,72142,1541074824,push,15.69,2.91,300,35
74,autoland,firefox,K0wmKi9LSVmQCyVfCrx_XA,72144,1541076401,push,14.38,0.81,367,74
75,autoland,firefox,AGCw6AnHTM-9N4KZ262SDg,72145,1541076449,push,70.69,4.1,2149,121
76,autoland,firefox,QxJKcHLCRLuKFQddGVis7g,72146,1541076779,push,14.94,2.82,292,35
77,autoland,firefox,ddfDPhSpSbWYREu2cEDvVw,72147,1541077373,push,15.26,3.27,328,70
78,autoland,firefox,K5oZUq3pR1aN8CDzBd38CA,72148,1541077952,push,15.13,2.81,295,37
79,autoland,firefox,QFJbDa5zQIOuaa8rPt7Auw,72149,1541078620,push,16.78,4.37,375,100
