,project,product,groupid,pushid,graph_date,origin,totalcost,tier23_cost,taskcount,tier23_taskcount
87,mozilla-inbound,firefox,Gftqn1muTlKe4YM4VuLN7w,110918,1546628013,push,31.23,2.38,485,47
88,mozilla-inbound,firefox,VPjFVtQYQtCIeMxfuCFAHg,110919,1546629738,push,17.39,2.78,286,60
89,mozilla-inbound,firefox,VlKgiNB1T6WUXoGlIy_diw,110920,1546630956,push,79.18,3.91,2243,113
90,mozilla-inbound,firefox,aGtjl7u3QcaWdcXGwd4IJQ,110921,1546634578,push,77.86,3.67,2239,114
91,mozilla-inbound,firefox,GY_4oFRuTumTtqN5x53SCg,110922,1546635525,push,17.4,2.16,250,25
92,mozilla-inbound,firefox,EWX1pbkrQjuaGEIynlp5qw,110923,1546638136,push,31.11,2.34,485,48
93,mozilla-inbound,firefox,LDq4LcNBTsOdw6pVD5DmlA,110924,1546638635,push,33.66,3.56,541,96
94,mozilla-inbound,firefox,YHbssMh6QTmQgwoAZ6HHcg,110925,1546642156,push,78.15,3.72,2249,116
95,mozilla-inbound,firefox,E8004NH1QByjoaL-UtOurw,110926,1546645578,push,72.51,3.88,2262,149
96,mozilla-inbound,firefox,HnSebkCjTzK9u6Iut3SYQA,110927,1546661431,push,69.22,5.63,2080,148
97,mozilla-inbound,firefox,RuFCTSAVTra35krqaJRw2w,110928,1546675908,push,78.31,4.72,2297,156
98,mozilla-inbound,firefox,IKeqPYqCSciWMWg-6a_sag,110929,1546692290,push,66.58,4.43,2081,132
99,mozilla-inbound,firefox,dzQd-l1cTROTmPovKKlAnQ,110930,1546704040,push,78.93,4.07,2284,148
100,mozilla-inbound,firefox,RIRH4bpHTsi_CR0qdfKGIw,110931,1546725453,push,69.72,4.3,2102,128
101,mozilla-inbound,firefox,L59son-WSKKB26uoM_w8TQ,110932,1546741514,push,68.97,4.8,2042,126
102,mozilla-inbound,firefox,aC7EWRDeQf-KoejKiZBdeA,110933,1546749407,push,78.18,4.42,2262,146
103,mozilla-inbound,firefox,VzYDWDf0SK2J-Tur0ZyVNw,110934,1546763005,push,68.56,3.94,2010,91
104,mozilla-inbound,firefox,XR-LEQWfTMS7rGLQxu3S3A,110935,1546768387,push,72.59,4.75,2063,131
105,mozilla-inbound,firefox,X-1DyjVmSn21uhqWR83flw,110936,1546776408,push,67.23,3.82,2002,91
106,mozilla-inbound,firefox,afADbNltTEyakp7IelUQkA,110937,1546781186,push,1.83,0.0,306,34
107,mozilla-inbound,firefox,VSgnwzJxT5GD_6vnJ-t_Kw,110939,1546782201,push,9.29,0.22,77,9
108,mozilla-inbound,firefox,TmzZGm6fQjK8sUKAs5KNkQ,110940,1546782518,push,54.51,3.19,2008,91
109,mozilla-inbound,firefox,PSX9ZfBzTBKl14FCOHeoNQ,110941,1546782769,push,2.91,0.0,57,7
110,mozilla-inbound,firefox,e2uRXh4NQUq2sFnD-eZmog,110942,1546797199,push,68.34,4.04,2036,91
111,mozilla-inbound,firefox,MQl9IMEcQmOOC6NtUDTE1A,110943,1546818842,push,69.59,4.2,2019,93
112,mozilla-inbound,firefox,P2czTJgRTIKjIF-p_hSmxg,110944,1546820074,push,18.46,2.43,247,25
113,mozilla-inbound,firefox,H8KWbSbzRj-O4YnpdXqRKA,110945,1546821909,push,64.96,3.69,2002,91
114,mozilla-inbound,firefox,AWoEwLTPSxGmia-cGoN6sA,110946,1546821974,push,17.17,2.29,246,25
115,mozilla-inbound,firefox,dbOLMJTMQEGfnCkF3rnH7g,110947,1546822026,push,17.33,2.32,249,26
116,mozilla-inbound,firefox,Ba3g33FTSnOd1dz3LjIEXw,110948,1546855378,push,65.58,4.17,2042,127
117,mozilla-inbound,firefox,bgr_m3GWQo60ofRduQaJeA,110949,1546857578,push,8.96,0.24,77,9
118,mozilla-inbound,firefox,KXCsoQAYTZKFqbbjH9QPjA,110950,1546866468,push,64.94,3.39,2004,91
119,mozilla-inbound,firefox,aJdRuWCRT6S6ZUQVOazqtA,110951,1546870390,push,64.71,3.94,2040,126
120,mozilla-inbound,firefox,WmnrELkWTAyGj_ZMvq_IOA,110952,1546873398,push,13.65,2.12,279,25
121,mozilla-inbound,firefox,VSKbP-S8Tqq_q7wOOt-Zzg,110953,1546874506,push,20.51,2.5,289,63
122,mozilla-inbound,firefox,WyI7rQMvTwCcNdpB6J6Ayg,110954,1546875463,push,35.41,2.93,572,82
123,mozilla-inbound,firefox,D126mERTTn-jvPbhERG9aA,110955,1546877998,push,65.91,3.67,2008,92
124,mozilla-inbound,firefox,PgVJo6GUSV-nwlPzSHH1Yw,110956,1546879597,push,65.49,3.48,2004,91
125,mozilla-inbound,firefox,ZZFi1SDlT4-AWmoq9mSYCA,110957,1546879815,push,23.88,4.97,337,92
126,mozilla-inbound,firefox,e1d8WcW5SzaaSKmlFZNL9A,110958,1546882777,push,30.33,2.33,481,47
127,mozilla-inbound,firefox,Kls2HvTcRM-UVs3G3kgP6A,110959,1546885918,push,3.02,0.0,59,8
128,mozilla-inbound,firefox,D6uXlJQ7SiuFgDIo7TijlQ,110960,1546886980,push,66.0,4.02,2057,126
129,mozilla-inbound,firefox,Ah-RhG59Qa-qYSeMThE7dg,110961,1546887248,push,8.58,1.65,248,25
130,mozilla-inbound,firefox,OkGs7MD1TUiKCBtHKD946g,110962,1546887818,push,8.29,1.52,284,60
131,mozilla-inbound,firefox,PMGZvVVLRUulmCbpr4NLGQ,110963,1546888342,push,7.46,1.79,248,25
132,mozilla-inbound,firefox,cxPd87IhRIOsp9nPUS6hng,110964,1546889017,push,8.96,1.81,248,25
133,mozilla-inbound,firefox,I9yxH8UHQZSvsfsjbyRBiA,110965,1546889554,push,65.94,3.84,2028,91
134,mozilla-inbound,firefox,MAaCcMIPQNyFkytFz8EDVA,110966,1546894317,push,16.0,0.91,356,69
135,mozilla-inbound,firefox,ZLM2xN-_Q4S9Op2reXfPpA,110967,1546895055,push,7.34,1.54,248,25
136,mozilla-inbound,firefox,F6oPir4DQnulU6jt--kbAQ,110968,1546895365,push,13.29,1.94,483,47
137,mozilla-inbound,firefox,QHenAvKyQj2nDJZTsILhoA,110969,1546897360,push,18.85,2.79,250,26
138,mozilla-inbound,firefox,BImyOCLkQk63wmEslfSDTQ,110970,1546897901,push,80.74,4.61,2297,151
139,mozilla-inbound,firefox,IkXd_3E9T-2QrnZJs7zwug,110971,1546901789,push,64.94,3.48,2024,91
140,mozilla-inbound,firefox,PkDKtLgDQ7SsWNxHo7nI0Q,110972,1546901929,push,18.58,2.41,248,25
141,mozilla-inbound,firefox,F1qMXIdQQFSqK3OLg-Jw5A,110973,1546903614,push,32.4,2.56,491,47
142,mozilla-inbound,firefox,C39tamYtRyuP6qrhtoDkKg,110974,1546903840,push,18.77,2.4,249,26
143,mozilla-inbound,firefox,aah8NzUfQz29Oc-IrBdT9g,110975,1546905443,push,65.02,3.53,2004,91
144,mozilla-inbound,firefox,IJYFxMFWSH2Lv2HYiD6PsA,110976,1546907111,push,31.46,2.26,490,46
145,mozilla-inbound,firefox,RT2aFp_RTrODwqneWM-j-A,110977,1546911592,push,67.6,3.58,2027,97
146,mozilla-inbound,firefox,B1mUtizbRvy1hfbFOe__hQ,110978,1546914817,push,30.64,2.35,481,46
147,mozilla-inbound,firefox,OakWuGpJRZKZDJvXdusf8Q,110979,1546922730,push,65.45,3.44,2027,91
148,mozilla-inbound,firefox,UxnNsR1sT7ShM_C8Cwb97A,110980,1546923074,push,65.8,3.96,2041,126
